linear colored snakes (n=4), L=1..15
   L    Shapes             Total
--------------------------------
   1         1                 4
   2         1                21
   3         1               109
   4         1               586
   5         1             3,326
   6         1            19,209
   7         1           111,871
   8         1           653,758
   9         1         3,824,678
  10         1        22,387,074
  11         1       131,052,313
  12         1       767,211,817
  13         1     4,491,420,695
  14         1    26,293,679,325
  15         1   153,927,402,355
